date;NORTH;YORKSHSIDE;NORTHWEST;EASTMIDS;WESTMIDS;EASTANGLIA;OUTERSEAST;OUTERMET;LONDON;SOUTHWEST;WALES;SCOTLAND;NIRELAND;UK;UKrec
"1;16,84056325;19,35522513;15,50924529;19,09328163;18,10451462;19,62812245;20,06967072;18,57163725;19,27486979;17,80877779;18,49766368;17,11933567;22,85815159;19,4975228;1"
"2;17,04270837;19,70411598;15,7337931;19,61582384;18,5960828;19,79510324;20,22319143;18,70909513;19,37238333;18,40669034;19,10808457;17,35469926;24,45936197;19,84324565;1"
"3;16,9118217;20,0089382;15,89605258;19,68522096;18,67752632;19,9347792;20,04015537;18,76235854;19,70625706;18,68939461;19,43528316;17,51866067;24,52014948;19,98866831;1"
"4;17,16882917;20,42440209;15,85870664;19,66192395;18,66821009;20,19775004;20,15986862;18,82580284;19,83715667;19,13605899;19,66955078;18,04574603;25,08049937;20,2030489;1"
"5;17,32061753;20,53745795;16,10724827;19,66328038;18,96084326;20,4524877;20,29850412;18,90366144;19,84467835;19,64335147;20,18338859;18,53204167;26,1935245;20,37773239;1"
"6;17,94084553;21,07771077;16,43499984;19,87144703;19,46625163;20,76006241;20,46174204;19,28169336;20,06972085;19,93435728;20,40975507;19,00349998;27,11408893;20,76733594;1"
"7;18,741462;22,13256974;16,83057874;20,49219663;19,88628536;20,97538082;21,04122972;19,79767943;20,55394794;20,35706816;20,92330031;20,13961171;28,54708338;21,39096006;1"
"8;19,55382356;22,56697373;17,20265073;20,86739133;20,08428812;21,00620754;21,21954948;20,30089534;20,94243194;20,47801495;21,21638586;21,04656001;30,43376929;21,84082901;1"
"9;20,32331655;23,31243895;17,63983619;21,48670077;20,86919635;21,50151818;21,73566761;20,98492021;21,54641291;21,00517308;21,9511466;22,39520349;33,26303275;22,5339717;0"
"10;20,96455515;24,00347341;17,9913524;21,84584948;19,2107884;21,94884032;22,12064965;21,35128289;21,92610693;21,29218536;22,76606278;23,60802406;35,16314071;23,04344879;0"
"11;21,40022624;24,47338428;18,32594711;22,01172268;21,43548515;22,20948754;22,37674193;21,7166799;22,11266123;21,55041751;23,25009507;24,51123782;36,94427415;23,40828658;0"
"12;21,91086998;25,03226255;18,81414406;22,51649012;21,52168153;22,66214617;22,61739243;22,0246256;22,39267773;21,88544554;23,54066275;25,03880969;38,70470341;23,85496879;0"
"13;22,94517685;25,67704677;19,34642571;23,06529428;22,2478973;22,94600538;22,88774901;22,43198155;22,81212111;22,11672399;24,03998122;25,80268999;40,20473269;24,36872045;0"
"14;23,60573265;26,19590588;19,97242154;23,42297932;22,63145956;23,12282612;23,24109699;22,6986655;23,29943839;22,59273323;24,46718983;26,09069104;41,69703925;24,84400771;0"
"15;24,28207613;26,73853683;20,58440472;23,83521037;23,31179355;23,63378459;23,69727043;22,99421092;23,40352025;23,04067693;24,73948996;26,68645296;43,51872007;25,30679828;0"
"16;24,71946025;26,97559946;21,12012442;24,26812103;23,58751192;24,38521618;24,02451684;23,271792;23,71508089;23,19244744;25,38602918;27,29133459;44,93042824;25,76810349;0"
"17;25,00811125;28,21970992;21,46151986;24,56307706;23,89422169;24,64832207;24,7134534;23,64737194;24,43511751;23,69241234;25,58471058;27,53518713;45,75801831;26,2447692;0"
